id,artist_genres,selected_genre,pop,rap,hip hop,dance,trap,rock,dance pop,latin,pop rap,reggaeton,country,house,contemporary,indie,latino,trap latino,post,alternative,edm,modern,teen,teen pop
53mrVsi49rLHIaKBiSvElG,pop; pop rap; atl hip hop; dirty south rap; gangster rap; hip hop; pop rap; rap; southern hip hop; trap,pop rap,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6PtmdbZEEv7XReUEVQSmmL,dance pop; hip hop; pittsburgh rap; pop rap; rap; southern hip hop; trap; atl hip hop; dance pop; dirty south rap; gangster rap; hip hop; pop rap; rap; southern hip hop; trap; hip hop; philly rap; pop rap; rap; southern hip hop; trap; hip hop; pop rap; rap; southern hip hop; trap; atl hip hop; gangster rap; hip hop; pop rap; rap; southern hip hop; trap; atl hip hop; hip hop; pop rap; rap; southern hip hop; trap; dance pop; hip hop; miami hip hop; pop; pop rap; rap; southern hip hop; trap; dirty south rap; gangster rap; hip hop; pop rap; rap; southern hip hop,pop rap,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2fS36fnJg8lqq5u8jRKiMx,indie pop rap; la pop,indie,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6IwKcFdiRQZOWeYNhUiWIv,hip pop; neo soul; pop; r&b; urban contemporary,contemporary,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1RwoXmQ3RvIdfG8bLeX65g,latin; latin pop; mexican pop; reggaeton; reggaeton mexicano; trap latino,trap latino,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
5loLgv99S4S6JZn3OV9nAR,thai hip hop; thai pop; thai trap,trap,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1mdNpiMw63IUyTys8Ypoys,modern alternative rock; modern rock; pop rock; rock; stomp and holler,modern,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6evDsE1JN4CqOTuRgV3GqY,lithuanian hip hop; lithuanian pop; lithuanian trap,trap,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0LiDychk9lPvq8FaqzinnS,downtempo; electronica; microhouse,house,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55rs5f3NvawRGMO666XqL5,alternative rock; garage rock; garage rock revival; indie rock; modern alternative rock; modern blues rock; modern rock; rock; supergroup,modern,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
6q1PJXZKUPmdQ0IhvQxtGp,czech hip hop; czsk hip hop,hip hop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Ius4TC0L3cN74HT7ENE6e,conscious hip hop; hip hop; north carolina hip hop; rap,hip hop,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67eesJ2RWOibD0WWyfdK5X,polish hip hop; polish trap; polish electronica; polish trap,trap,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40uMIn2zJLAQhNXghRjBed,dfw rap; melodic rap; rap,rap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5XMjXjwCkJVmk0AHm7z8IV,swedish indie rock,indie,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1GxdKGIrNDnAezrNI5LzS6,other,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65mxB9IWpmVo4qUjdGSxRB,alternative metal; pop punk; rock,alternative,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5ia3VFoozaCyjEjufZ8Ljd,nz reggae; pacific islands pop,pop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04bEhujOxzNrXeideMtFuR,dream smp; viral rap,rap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3uCHI1gfOUL5j5swEh0TcH,other,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0RLLvYBopDwooCyvnTwgYu,brooklyn drill; melodic rap; nyc rap,rap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7eJ5kRpMNPAk7ccCDKywjH,cali rap; gangster rap; hip hop; hyphy; oakland hip hop; pop rap; rap; southern hip hop; trap; west coast rap; cali rap; hyphy; oakland hip hop; west coast rap; west coast trap,pop rap,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7d23MhPFE9eB3U8DPRirnL,alternative dance; art pop; electropop; escape room; new rave,alternative,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
